Project ID,Project Name,Parent,Project Owner (Subsidiary),Sector,State,City,Project Status,Project Type,Construction Start Date,Expected Commissioning Date,Scope,Project Status Cleaned,Start Date Cleaned,Commissioning Date Cleaned
VED-011,Mangala Field ASP Enhanced Oil Recovery — India's Largest Commercial ASP,Vedanta,Vedanta,Oil & Gas,Rajasthan,"Mangala Field, Barmer (RJ-ON-90/1)",Ongoing,Not Disclosed,2024-01-01,2026-04-01,Full-field Alkaline-Surfactant-Polymer (ASP) flooding at Mangala (MWP-1 & 19); boosts recovery from ~40% to up to 60%; ~20% additional oil from treated area; India's largest commercial ASP injection,Ongoing,2024-01-01,2026-04-01
VED-012,RJ-ON-90/1 ASP & Advanced Recovery Programme — MBA Fields,Vedanta,Vedanta,Oil & Gas,Rajasthan,Barmer Basin (MBA + Satellite Fields),Ongoing,Not Disclosed,2019-01-01,2025-01-01,"Multi-field EOR across Mangala, Bhagyam and Aishwariya; ~$1 billion ASP investment 2025-28; part of $3-4 billion upstream capex; ONGC 30% partner; PSC extended to May 2030",Ongoing,2019-01-01,2025-01-01
VED-013,Cairn OALP Round-IX — 7 New Exploration Blocks (West Coast),Vedanta,Vedanta,Oil & Gas,Gujarat / Offshore West Coast,"Cambay, Saurashtra, Mumbai basins",Upcoming — Active Exploration,Not Disclosed,2025-01-01,2025-01-01,"4 onshore + 3 shallow-water blocks in Cambay, Saurashtra and Mumbai basins; takes Cairn portfolio to 69 blocks (~73,000 sq km); accelerated exploration 2025-27 to contribute 50% of India's domestic crude",Ongoing,2025-01-01,2025-01-01
VED-014,KG Basin Deepwater Exploration — 5-6 Wells by 2026,Vedanta,Vedanta,Oil & Gas,Offshore — Andhra Pradesh,"KG Basin, Bay of Bengal",Upcoming — Pre-Development,Not Disclosed,2025-01-01,2026-01-01,Deepwater exploration in KG-DWHP-2017/1 block; 3D CSEM surveys completed; 5-6 exploration wells planned by 2026; part of $3-4 billion upstream capex plan,Upcoming,2025-01-01,2026-01-01
VED-015,"Meenakshi Energy 1,000 MW Coal Power Plant — Full Revival",Vedanta,Vedanta,Utilities,Andhra Pradesh,"Thamminapatnam, Nellore",Completed — Fully Operational,Not Disclosed,2023-01-01,2025-08-01,"IBC acquisition Jan 2023 (₹1,440 Cr); Phase I 300 MW already operational; Phase II 700 MW (2×350 MW) commissioned Aug 2025; plant now fully operational at 1,000 MW as IPP",Completed,2023-01-01,2025-08-01
VED-016,"Vedanta Chhattisgarh Thermal Power Plant (VLCTPP) — 1,200 MW",Vedanta,Vedanta,Utilities,Chhattisgarh,"Singhitarai, Sakti District",Ongoing — Unit 1 Commissioned,Not Disclosed,2022-01-01,2025-08-01,Half-built 2×600 MW coal thermal plant acquired from Athena Chhattisgarh via insolvency; completed under Vedanta; Unit-1 (600 MW) commissioned Aug 2025; Unit-2 to follow,Completed,2022-01-01,2025-08-01
VED-017,HZL — Serentica 450→530 MW Round-the-Clock Renewable Power (Captive),Vedanta,Vedanta,Utilities,Rajasthan,"Bikaner (generation) → HZL units in Udaipur, Bhilwara, Rajsamand",Ongoing,Not Disclosed,2024-01-01,2027-01-01,Captive solar-wind-storage RTC renewable power supply to HZL operations; 180 MW Bikaner solar park commissioned Jul 2024; PDA enhanced to 530 MW; full hybrid system by 2027,Ongoing,2024-01-01,2027-01-01
VED-018,HZL 0.5 MTPA DAP Fertiliser Plant — Udaipur,Vedanta,Vedanta,PCR,Rajasthan,Udaipur,Upcoming — Announced,Not Disclosed,2026-01-01,TBD (within 3-year plan),"Greenfield 0.5 MTPA Di-Ammonium Phosphate (DAP) plant at Udaipur using rock phosphate from HZL's Maton mine; part of ₹8,000 Cr 3-year Rajasthan investment plan announced Apr 2026",Upcoming,2026-01-01,
VED-019,Vedanta Semiconductors & Displays — Dholera Fab (₹1.54 lakh crore MoU),Vedanta,Vedanta,PCR,Gujarat,"Dholera SIR, Ahmedabad",Upcoming — Partner Finalisation,Not Disclosed,2022-01-01,TBD (Partner finalisation pending),"Proposed integrated semiconductor fab (28nm, 300mm wafer) + Gen-8 display fab + OSAT at Dholera SIR; MoU Sep 2022 with Gujarat Govt; Foxconn JV dissolved; Vedanta seeking new tech and equity partners",Upcoming,2022-01-01,
VED-020,Sterlite Copper 'Green Copper' Smelter Revival — Thoothukudi,Vedanta,Vedanta,PCR,Tamil Nadu,Thoothukudi,Upcoming — Regulatory / Judicial,Not Disclosed,2025-01-01,TBD (Judicial approval pending),Proposal to revive closed Sterlite Copper smelter as a new 'green copper' facility; Vedanta filed petition Dec 2025 in Madras High Court for expert committee evaluation; judicial and regulatory approval pending,Upcoming,2025-01-01,
VED-021,Vedanta Aluminium Park Jharsuguda + 3 MTPA Aluminium Plant — Odisha,Vedanta,Vedanta,PCR,Odisha,Jharsuguda (park) + Rayagada/Dhenkanal (smelter),Upcoming — MoU Stage,Not Disclosed,2025-01-01,TBD (~3-4 years from sanction),253-acre aluminium industrial park near Jharsuguda for 100+ MSMEs + proposed 3 MTPA greenfield aluminium smelter in Rayagada/Dhenkanal; MoU with Odisha Govt Jan 2025; 3-4 year build horizon,Upcoming,2025-01-01,
JSW-001,Greenfield Integrated Steel & Manufacturing Complex — Paradip,JSW Group,JSW Steel / JSW Utkal Steel Ltd (Developer) — EPC not yet disclosed,Steel & Mining,Odisha,"Paradip, Jagatsinghpur",Ongoing — Under Development,Not Disclosed,2024-01-01,2026-04-01,"13.2 MTPA integrated green steel plant with captive power plant, captive jetties, cement unit, township and associated infrastructure; land ~2,958 acres; multi-phase development over several years",Ongoing,2024-01-01,2026-04-01
JSW-002,JSW Vijayanagar Metallics — 5 MTPA Brownfield Steel Expansion,JSW Group,JSW Vijayanagar Metallics Ltd (JVML) — Multiple EPC packages; not fully disclosed,Steel & Mining,Karnataka,"Vijayanagar, Ballari",Ongoing — Near Completion,Not Disclosed,2022-01-01,2024-03-01,"Brownfield addition of 4.5 MTPA blast furnace, 2×350-ton steel melt shops and 5 MTPA hot strip mill at Vijayanagar; HSM, BF, sinter & RMHS commissioned Mar 2024; SMS ramp-up through FY25; raises Vijayanagar to ~18 MTPA",Ongoing,2022-01-01,2024-03-01
JSW-003,Dolvi Works Phase-III Brownfield Expansion (10 → 15 MTPA),JSW Group,JSW Steel Ltd — In-house engineering + package contractors; not centrally disclosed,Steel & Mining,Maharashtra,"Dolvi, Raigad",Ongoing — Under Development,Not Disclosed,2024-01-01,2027-09-01,"Brownfield expansion adding 5 MTPA at Dolvi with associated coke ovens, pellet plant and logistics upgrades; part of JSW Steel's ₹61,863 Cr India capex FY26-28; significant share earmarked for Dolvi",Ongoing,2024-01-01,2027-09-01
JSW-004,Iron Ore Mining & Pellet / Slurry Logistics — Odisha (Multiple Mines),JSW Group,JSW Steel & Mining subsidiaries — EPC for individual mines/pipeline not fully disclosed,Steel & Mining,Odisha,Keonjhar & Sundargarh Districts,Ongoing — Under Development,Not Disclosed,2024-01-01,2027-01-01,Multiple iron ore mines in Keonjhar & Sundargarh districts; 2 × 8 MTPA pellet plants and 30 MTPA slurry pipeline to supply Vijayanagar; ~1.1 billion tonne aggregate ore reserves; FY27-28 target,Ongoing,2024-01-01,2027-01-01
JSW-005,Kutehr Hydroelectric Power Plant — 240 MW (3×80 MW),JSW Group,JSW Energy Kutehr Ltd (wholly-owned step-down) — Civil & electro-mechanical EPC packages; not all named publicly,Utilities,Himachal Pradesh,Chamba District,Completed,Not Disclosed,Early 2020s,2025-08-01,Run-of-river hydro plant on Ravi River; 35-year PPA with Haryana Power Purchase Centre at ₹4.50/kWh levelised ceiling tariff; completed in under 6 years — one of India's fastest greenfield hydro builds,Completed,,2025-08-01
JSW-006,SECI Tranche X Wind Power Project — 450 MW,JSW Group,JSW Renew Energy Two Ltd (JSW Energy step-down) — Turbine OEM/EPC not named,Utilities,Tamil Nadu,Tuticorin (Thoothukudi) & Dharapuram,Ongoing — Late Commissioning,Not Disclosed,2022-01-01,2025-04-01,450 MW ISTS-connected wind project under SECI Tranche X with 25-year PPA; 300 MW Tuticorin fully commissioned Sep 2024; 138 MW of 150 MW Dharapuram commissioned by late 2025; remaining 12 MW expected by end-FY25,Ongoing,2022-01-01,2025-04-01
JSW-007,1.0 GWh Battery Energy Storage System (BESS) — SECI Awarded,JSW Group,JSW Energy / JSW Neo Energy — EPC not publicly disclosed,Utilities,Multiple (ISTS locations — exact sites not disclosed),Multiple Sites,Ongoing — Under Construction,Not Disclosed,2024-01-01,2025-06-01,Two 500 MWh grid-scale BESS installations developed under Build-Own-Operate model against SECI tender; provides 2-hour discharge for grid balancing and RE integration; construction commenced Jun 2024,Ongoing,2024-01-01,2025-06-01
JSW-008,Multi-Site 3.0 GWh BESS + 26.4 GWh Pumped Storage Portfolio,JSW Group,JSW Energy / JSW Neo Energy — Individual EPC partners to be appointed per project,Utilities,Multiple States,Multiple Sites,Under Development — Pipeline,Not Disclosed,2023-01-01,2026-01-01,JSW Energy's locked-in storage portfolio of 29.4 GWh: 26.4 GWh in pumped storage and 3.0 GWh in BESS across multiple states; target 40 GWh by FY30; various projects at pre-construction or early construction stage,Upcoming,2023-01-01,2026-01-01
JSW-009,25 MW Green Hydrogen Plant — Vijayanagar,JSW Group,JSW Energy / JSW Neo Energy (Developer) — Technology providers not fully disclosed,Utilities,Karnataka,"Vijayanagar, Ballari",Ongoing — Trial Runs,Not Disclosed,2024-01-01,2026-01-01,"25 MW electrolysis-based green hydrogen facility (~3,800 TPA H₂) for JSW Steel Vijayanagar's green steel and decarbonisation programme; trial runs near complete as of Oct 2025; key part of JSW's net-zero roadmap",Ongoing,2024-01-01,2026-01-01
ONG-001,KG-DWN-98/2 Cluster-II Deepwater Development,ONGC,ONGC (Direct),Oil & Gas,Offshore Andhra Pradesh,"~35 km off Kakinada, KG Basin",🟡 Under Production / Final Commissioning,Not Disclosed,2018-10-01,2024-01-01,Deepwater gas/condensate development; FPSO Armada Sterling V; Subsea SPS+SURF EPC; First oil Jan 2024; production ramp-up ongoing,Ongoing,2018-10-01,2024-01-01
ONG-002,Mumbai High North Redevelopment Phase-IV (MHN RD-IV),ONGC,ONGC (Direct),Oil & Gas,Offshore Maharashtra,"Arabian Sea, ~160 km west of Mumbai",🟢 Completed,Not Disclosed,2019-04-01,2025-02-01,Offshore redevelopment of Mumbai High North field; platform upgrade and subsea works; dedicated by PM Mar 2024; cost overrun ~23%,Completed,2019-04-01,2025-02-01
ONG-003,Daman Upside Development Project (DUDP),ONGC,ONGC (Direct),Oil & Gas,"Western Offshore, Arabian Sea",~180 km NW of Mumbai; ~80 km south of Pipavav,🟢 Commissioned (2026),Not Disclosed,2024-01-01,2026-01-01,"Western offshore gas development; platform B-12-24P; gas flowing to Hazira plant from Mar 29, 2026; completed in <2 years from award",Completed,2024-01-01,2026-01-01
ONG-004,Subsea Pipeline Replacements (PRP-VIII & PRP-9),ONGC,ONGC (Direct),Oil & Gas,Western Offshore,"Mumbai High, Neelam, Heera fields",🟡 Under Execution,Not Disclosed,2024-01-01,2026-01-01,"Replacement of aging subsea pipelines across Mumbai High, Neelam and Heera fields; PRP-9 EPC to Lamprell",Ongoing,2024-01-01,2026-01-01
ONG-005,Jharia Coal Bed Methane (CBM) Project,ONGC,ONGC (Direct),Oil & Gas,Jharkhand,Jharia,🟡 Under Implementation,Not Disclosed,2024-01-01,2027-01-01,CBM gas extraction from Jharia coalfields; JV with Coal India; gas to be monetised from coal seams,Ongoing,2024-01-01,2027-01-01
ONG-006,DSF-II Integrated Development (4 Areas),ONGC,ONGC (Direct),Oil & Gas,Offshore (Multiple),Various Continental Shelf sites,🟡 Ongoing / Construction,Not Disclosed,2024-08-01,2027-04-01,Discovered Small Field-II integrated development across 4 offshore continental shelf areas; Board approved Aug 2024,Ongoing,2024-08-01,2027-04-01
ONG-007,Andaman Basin Stratigraphic Well (AND-P-1),ONGC,ONGC (Direct),Oil & Gas,Andaman Basin (Offshore),267 nm from Andaman Islands,🟡 Active Drilling,Not Disclosed,2026-01-01,TBD (Exploration),"Ultra-deepwater exploratory well 267 nautical miles from Andaman Islands; technical SME support from BP; spudded Jan 27, 2026",Ongoing,2026-01-01,
ONG-008,HPCL Visakh Refinery Modernisation Project (VRMP) + RUF,ONGC,HPCL (ONGC subsidiary),PCR,Andhra Pradesh,"Visakhapatnam (Visakh Refinery, Malkapuram)",🟢 Completed (2026),Not Disclosed,2016-07-01,2026-01-01,Expanded refinery from 8.33 to 15 MMTPA; added BS-VI capability; LC-Max residue hydrocracking unit (3.55 MMTPA); RUF commissioned early 2026,Completed,2016-07-01,2026-01-01
ONG-009,MRPL Iso-Butyl Benzene (IBB) Demo Plant,ONGC,MRPL (ONGC subsidiary),PCR,Karnataka,Mangalore Refinery (MRPL site),🟢 Completed,Not Disclosed,2023-01-01,2025-11-01,Demonstration-scale IBB production plant at MRPL Mangalore refinery; in-house development,Completed,2023-01-01,2025-11-01
ONG-010,MRPL Power System Upgradation,ONGC,MRPL (ONGC subsidiary),PCR,Karnataka,Mangalore Refinery,🟢 Commissioned (Apr 2026),Not Disclosed,Ongoing,2026-04-01,Grid power system upgrade at MRPL refinery; KPTCL grid linkage for improved power reliability,Completed,,2026-04-01
ONG-011,MRPL Bio-ATF (Sustainable Aviation Fuel) Demo,ONGC,MRPL (ONGC subsidiary),PCR,Karnataka,Mangalore Refinery,🟡 Under Construction,Not Disclosed,2024-01-01,2027-01-01,Demonstration plant for Bio-ATF / Sustainable Aviation Fuel production at MRPL; green aviation fuel initiative,Ongoing,2024-01-01,2027-01-01
ONG-012,MRPL New Petrochemical Complex (West Coast),ONGC,MRPL (ONGC subsidiary),PCR,Karnataka,Near Mangalore / MRPL Refinery Site,🔵 Upcoming (Pre-FID),Not Disclosed,TBD (Post FID),2029-01-01,Large petrochemical complex integrated with MRPL refinery; configuration under study; shifted focus from refinery expansion; EPC not yet appointed,Upcoming,,2029-01-01
ONG-013,Prayagraj Refinery-cum-Petrochem Complex,ONGC,ONGC (Direct),PCR,Uttar Pradesh,Prayagraj (Naini/Bara),🔵 Planned (Feasibility Stage),Not Disclosed,TBD,2028-01-01,Greenfield refinery and petrochemical complex at Naini/Bara; ONGC + BPCL JV; part of O2C expansion plan,Upcoming,,2028-01-01
ONG-014,Jamnagar Refinery & Petrochemical Project,ONGC,ONGC (Direct),PCR,Gujarat,Jamnagar,🔵 Planned (Site Selection),Not Disclosed,TBD,2030-01-01,Greenfield refinery and petchem complex at Jamnagar; site selection stage; part of ONGC group's 8 MMTPA petchem target by 2030,Upcoming,,2030-01-01
TAT-UTL-001,TP Solar 4.3 GW Cell & Module Manufacturing Plant,Tata Group,Tata Power Solar Systems Ltd (TP Solar),Utilities,Tamil Nadu,Tirunelveli,Ongoing,Greenfield,2022-07-01,2024-09-01,4.3 GW solar cell & module manufacturing plant. Module line: Oct 2023. Cell line: 09-09-2024 (2 GW). Full 4.3 GW capacity target FY26. India's largest integrated solar manufacturing facility.,Ongoing,2022-07-01,2024-09-01
TAT-UTL-002,"Bhivpuri Pumped Hydro Storage Project (1,000 MW)",Tata Group,Tata Power Ltd,Utilities,Maharashtra,"Bhivpuri, Raigad District",Ongoing,Greenfield,2024-10-29,2026-10-01,"1,000 MW pumped hydro storage project. Board approval Oct 2024. ₹2,470 Cr civil & hydro-mechanical EPC contract to HCC–Tata Projects JV (Mar 2025). Part of 2,800 MW PSP portfolio with Shirawta.",Ongoing,2024-10-29,2026-10-01
TAT-UTL-003,"Shirawta Pumped Hydro Storage Project (1,800 MW)",Tata Group,Tata Power Ltd,Utilities,Maharashtra,"Shirawta, Pune District",Upcoming,Greenfield,2026-07-01,2031-01-01,"1,800 MW pumped hydro storage project. Investment: ₹11,000 Cr. CEO confirmed Jul 2026 start and 5-year completion timeline at Nov 2025 briefing. Part of Tata Power's 2,800 MW PSP portfolio.",Upcoming,2026-07-01,2031-01-01
TAT-MIN-001,West Bokaro Coal Mine Expansion – 10 MTPA Coking Coal Washery,Tata Group,Tata Steel Ltd,Mining,Jharkhand,"West Bokaro, Ramgarh District",Completed,Brownfield Expansion,2022-11-01,2024-09-01,New 10 MTPA coking coal washery at West Bokaro. Adds to existing 6.5 MTPA capacity. 20-year washery life from commissioning. Pre-feasibility filed with MoEF&CC Feb 2022.,Completed,2022-11-01,2024-09-01
TAT-MIN-002,"Gandhalpada Iron Ore Mine, Odisha (10 MTPA)",Tata Group,Tata Steel Mining Ltd,Mining,Odisha,"Gandhalpada, Sundargarh District",Upcoming,Greenfield,Not Disclosed (Mining lease not yet executed; forest diversion approval pending),2029-04-01,10 MTPA iron ore mine (314.37 Mt resources; 33-year mine life). LoI for 50-year lease over 241.1 ha issued 28-10-2021. Forest clearance (216.875 ha) applied. Production target FY29 to replace expiring leases.,Upcoming,,2029-04-01
TAT-MIN-003,Noamundi / Joda / Katamati Iron Ore Mine Expansion (40 → 55 MTPA),Tata Group,Tata Steel Ltd (OMQ Division),Mining,Odisha & Jharkhand,"Noamundi (JH), Joda & Katamati (OD)",Ongoing,Expansion,2025-05-01,2025-01-01,"Multi-site iron ore capacity expansion from 40 MTPA to 55 MTPA across OMQ division. Investment: ~₹10,000 Cr (~US$1.18 Bn). Technology, logistics and debottlenecking upgrades. No single commissioning date – phased ramp-up.",Ongoing,2025-05-01,2025-01-01
TAT-DC-001,Tata Group 1 GW AI Data Centre Programme (TCS HyperVault + OpenAI + AMD),Tata Group,TCS / Tata Communications,Data Centres,Multiple States (TBD),Multiple Sites (TBD),Upcoming,Greenfield,2026-01-01,"Not Disclosed (Phased: 100 MW initial phase, scaling to 1 GW; timeline not published)","1 GW AI-optimised data centre programme. Phase 1: 100 MW via TCS HyperVault. Partnerships: OpenAI, AMD, TPG. Total capex: ~US$6.5-7 Bn. Announced Feb 2026. Construction timelines and site locations not yet disclosed.",Upcoming,2026-01-01,
RIL-PCR-001,Dahej Petrochemical & Polyester Value Chain Expansion (3 MMTPA PTA + 1 MMTPA PET),Reliance Industries Ltd,Reliance Industries Ltd (O2C Business),PCR,Gujarat,"Dahej, Bharuch District",Ongoing,Brownfield Expansion,2022-08-01,2026-12-31,"3 MMTPA PTA + 1 MMTPA PET integrated polyester value chain. Part of ₹75,000 Cr O2C capex. Dahej prefeasibility: ~₹21,200 Cr for PTA/PET/Carbon Fibre/CPVC/utilities at site.",Ongoing,2022-08-01,2026-12-31
RIL-PCR-002,Vinyl Chain (PVC/CPVC) Capacity Expansion – 1.5 MMTPA,Reliance Industries Ltd,Reliance Industries Ltd (O2C Business),PCR,Gujarat & Maharashtra,"Dahej (Gujarat), Jamnagar (Gujarat), Nagothane (Raigad, Maharashtra)",Ongoing,Brownfield Expansion,2022-08-01,2026-04-01,"1.5 MMTPA PVC/CPVC across 3 sites. Vinyl-chain capacity more than tripling. Part of ₹75,000 Cr O2C capex. Nagothane projected full commissioning 31-12-2028.",Ongoing,2022-08-01,2026-04-01
RIL-PCR-003,Carbon Fibre & Advanced Materials Complex – Hazira,Reliance Industries Ltd,Reliance Industries Ltd (O2C / New Materials),PCR,Gujarat,"Hazira, Surat District",Ongoing,Greenfield,2024-01-01,2025-12-31,"India's first large-scale carbon fibre plant (20,000 MTPA Phase 1). Part of ₹75,000 Cr O2C/new materials capex. Further ramp through 2026-27.",Ongoing,2024-01-01,2025-12-31
RIL-OG-001,KG-D6 Incremental Gas Development – R-Cluster & Satellite Cluster Additional Wells,Reliance Industries Ltd,RIL–bp JV (KG-DWN-98/3),Oil & Gas,Andhra Pradesh (Offshore),KG-D6 Block – Bay of Bengal (Offshore),Ongoing,Capacity Addition,2024-01-01,2025-01-01,3 additional wells in R-Cluster + 1 in Satellite Cluster. KG-D6 already producing. Incremental 4-5 mmscmd output targeted. Capex not publicly disclosed. MJ Field first gas: 30-06-2023 (achieved).,Ongoing,2024-01-01,2025-01-01
RIL-UTL-001,Dhirubhai Ambani Green Energy Giga Complex – Solar Cell & Module Gigafactory (10-20 GW),Reliance Industries Ltd,Reliance New Energy Ltd,Utilities,Gujarat,Jamnagar,Ongoing,Greenfield,2021-01-01,2025-04-01,"10-20 GW annual solar cell & module manufacturing (quartz-to-module). HJT technology (REC-based), 720 Wp modules. Part of ₹75,000 Cr (~US$10 Bn) new energy capex. BIS-certified production underway.",Ongoing,2021-01-01,2025-04-01
RIL-UTL-002,Jamnagar Battery Gigafactory – 40 GWh (Scalable to 100 GWh),Reliance Industries Ltd,Reliance New Energy Ltd,Utilities,Gujarat,Jamnagar,Ongoing,Greenfield,2024-08-30,2026-12-31,40 GWh/year integrated battery manufacturing (scalable to 100 GWh). Part of Jamnagar Giga Complex. US$10 Bn new energy investment envelope.,Ongoing,2024-08-30,2026-12-31
RIL-UTL-003,Electrolyser Gigafactory – Jamnagar (3 GW/year capacity),Reliance Industries Ltd,Reliance New Energy Ltd,Utilities,Gujarat,Jamnagar,Ongoing,Greenfield,2024-08-30,2026-12-31,3 GW/year electrolyser manufacturing plant within Jamnagar Giga Complex to support green hydrogen production. Part of US$10 Bn new energy capex.,Ongoing,2024-08-30,2026-12-31
RIL-UTL-004,"Kutch Ultra-Large Solar & Green Hydrogen Project (~550,000 acres)",Reliance Industries Ltd,Reliance New Energy Ltd,Utilities,Gujarat,Kutch District (Multiple Sites),Ongoing,Greenfield,2024-08-01,2026-01-01,"One of world's largest single-site solar projects (~550,000 acres). Feeds green hydrogen chain targeting 3 MMTPA by 2032. Linked to Jamnagar Giga Complex and Kandla export corridor. Capex not separately disclosed.",Ongoing,2024-08-01,2026-01-01
RIL-UTL-005,Green Hydrogen & Green Chemicals Complex – Kandla,Reliance Industries Ltd,Reliance New Energy Ltd,Utilities,Gujarat,"Kandla, Kutch District",Ongoing,Greenfield,2024-01-01,2032-01-01,"2,000-acre integrated green hydrogen and green chemicals complex (green ammonia, methanol, SAF). Marine/land infrastructure linked to Kutch solar and Jamnagar Giga Complex. Capex not publicly disclosed.",Ongoing,2024-01-01,2032-01-01
RIL-DC-001,Chennai MAA10 Data Centre – 20 MW (on 100 MW campus),Reliance Industries Ltd,Digital Connexion JV (RIL + Brookfield + Digital Realty),Data Centres,Tamil Nadu,Chennai,Completed,Greenfield,2023-01-01,2024-01-01,20 MW Phase 1 on 100 MW campus. Mukesh Ambani confirmed operations at TN Global Investors Meet Jan 2024. Further expansion to 100 MW in subsequent phases. Capex not separately disclosed.,Completed,2023-01-01,2024-01-01
RIL-DC-002,Mumbai Chandivali Data Centre Campus – ~40 MW,Reliance Industries Ltd,Digital Connexion JV (RIL + Brookfield + Digital Realty),Data Centres,Maharashtra,Mumbai (Chandivali),Ongoing,Greenfield,2023-01-01,Not Disclosed (Mid-decade commissioning targeted),"40 MW data centre on 2.15-acre land parcel in Chandivali, Mumbai. Part of Digital Connexion JV's India-wide DC investment plan. Capex not disclosed.",Ongoing,2023-01-01,
RIL-DC-003,Jamnagar AI Data Centre – Phase 1 (120 MW),Reliance Industries Ltd,Jio Platforms Ltd,Data Centres,Gujarat,Jamnagar,Ongoing,Greenfield,2026-02-19,2026-12-31,AI-native data centre campus. Construction confirmed at India AI Impact Summit 2026. Phase 1: 120 MW. Integrated with Jamnagar Giga Complex green energy infrastructure.,Ongoing,2026-02-19,2026-12-31
RIL-DC-004,Visakhapatnam AI-Native Data Centre Campus – 1 GW,Reliance Industries Ltd,Digital Connexion JV (RIL + Brookfield + Digital Realty),Data Centres,Andhra Pradesh,Visakhapatnam (Vizag),Upcoming,Greenfield,2025-01-01,2030-01-01,"1 GW AI-native DC campus on ~400 acres. MoU with AP Economic Development Board (2025). Investment ~US$11 Bn (~₹98,000 Cr) by 2030. Pre-construction / planning phase.",Upcoming,2025-01-01,2030-01-01
